Time_sin,B_TCS,G_TCS,R_TCS,CS,CLA2.0,Illuminance (Test),mEDI(Test),EML,CCT
-0.44228869,3089,3316,2788,0.610485917,2029.000703,1504.57519,1380.276841,1523.742946,6048.353297
-0.461748613,3200,3435,2890,0.612110214,2067.957991,1530.953274,1405.060917,1551.103081,6050.766347
-0.480988769,3540,3819,3223,0.623013291,2369.550147,1770.112495,1598.61128,1764.771087,5907.851279
-0.5,3566,3814,3211,0.621169653,2313.008748,1691.647281,1557.368775,1719.241832,6072.449446
-0.518773258,4000,4276,3589,0.632185443,2693.945131,1977.031172,1795.449592,1982.068792,5947.869215
-0.537299608,4390,4672,3901,0.637550137,2925.351508,2100.535306,1933.111582,2134.039382,6060.875802
-0.555570233,4928,5250,4347,0.643960064,3256.683853,2312.919103,2132.000661,2353.601011,6079.476177
-0.573576436,6148,6610,5454,0.658271272,4340.89419,3085.553511,2775.477827,3063.961254,5871.665724
-0.591309648,6227,6622,5379,0.658757602,4390.23304,3014.770109,2791.198439,3081.315868,6122.58109
-0.608761429,6607,7066,5764,0.663363616,4919.007446,3408.575935,3099.134834,3421.259201,5960.120294
-0.625923472,6785,7266,5926,0.664856037,5118.512814,3532.852225,3212.628626,3546.549548,5956.812016
-0.64278761,6623,7103,5784,0.664174678,5025.468653,3479.833191,3162.830084,3491.574942,5954.786088
-0.659345815,7082,7610,6210,0.666774521,5399.948683,3721.643051,3374.330857,3725.059125,5931.327076
-0.675590208,6377,6794,5544,0.659907805,4511.445458,3091.03717,2864.801218,3162.568927,6115.851489
-0.691513056,5973,6412,5258,0.657142552,4230.489989,2958.753905,2710.492865,2992.221749,6014.341846
-0.707106781,5645,6071,4997,0.655088644,4043.147112,2845.37782,2604.006213,2874.666864,6006.97724
-0.722363962,4935,5346,4459,0.64786309,3496.154548,2532.337452,2289.115807,2527.04672,5898.836287
-0.737277337,4398,4792,4064,0.638322029,2961.784378,2195.095681,1970.915653,2175.772812,5836.396
-0.751839807,4409,4799,4056,0.639260579,3007.266447,2230.686662,1999.877607,2207.745074,5825.310388
-0.766044443,4855,5277,4441,0.646505414,3409.091628,2527.600723,2244.517407,2477.812758,5747.663578
-0.779884483,4678,5036,4179,0.645159551,3326.83176,2418.018695,2188.348999,2415.806201,5906.074014
-0.79335334,5337,5844,4859,0.6550182,4037.01038,2961.94891,2620.374423,2892.736388,5722.810378
-0.806444604,5033,5465,4537,0.651106301,3722.668889,2699.661023,2429.968637,2682.539806,5857.769087
-0.819152044,5808,6345,5245,0.659687196,4487.687363,3234.317826,2881.991621,3181.546102,5775.601004
-0.831469612,5192,5676,4707,0.653807808,3934.347038,2872.980772,2562.295728,2828.620987,5779.559559
-0.843391446,4234,4656,3918,0.642298382,3164.08702,2380.652205,2107.732612,2326.810538,5718.752885
-0.854911871,3634,3993,3389,0.627636,2523.297144,1934.853647,1711.862886,1889.794076,5706.643642
-0.866025404,3557,3914,3307,0.626524889,2484.66928,1911.778211,1689.428946,1865.02835,5696.930815
-0.876726756,3060,3350,2841,0.612820898,2085.435035,1616.811625,1434.499127,1583.601102,5722.645007
-0.887010833,2837,3103,2633,0.601236282,1830.360218,1420.487032,1268.748867,1400.622743,5766.283924
-0.896872742,2486,2706,2296,0.585640663,1564.71618,1216.052173,1093.31285,1206.951891,5815.281713
-0.906307787,2153,2335,1973,0.571889842,1381.508646,1079.095368,972.1801974,1073.228699,5833.787741
-0.915311479,2018,2192,1832,0.568876487,1346.217564,1059.787728,951.5325495,1050.434932,5813.944892
-0.923879533,1913,2118,1809,0.563998425,1292.218498,1058.162875,922.3527257,1018.222155,5573.798529
-0.932007869,1609,1764,1499,0.539133522,1065.222815,864.0192754,764.953893,844.4632728,5688.987629
-0.939692621,1387,1512,1278,0.518017414,918.593063,747.1763162,662.9077508,731.8104449,5698.827084
-0.946930129,1314,1433,1214,0.511534645,879.7831803,721.2277808,637.0672958,703.2841306,5659.202491
-0.953716951,1311,1424,1209,0.505956457,848.3360973,688.4110452,613.7802194,677.5765933,5724.891449
-0.960049854,1261,1358,1150,0.49650372,798.7381136,639.9196164,577.8499141,637.9116887,5818.23988
-0.965925826,1159,1244,1050,0.479970242,721.6003191,573.433969,523.2476995,577.6341147,5899.230078
-0.97134207,994,1058,887,0.453144053,617.0635739,485.7932701,448.5978326,495.2251337,5994.431401
-0.976296007,840,886,738,0.422537412,520.8917878,406.8524432,379.8871902,419.3727005,6080.66708
-0.98078528,716,752,624,0.390709526,439.6708082,342.0420298,322.0612003,355.5362719,6144.541289
-0.98836151,448,465,386,0.295990029,268.2512101,206.4492608,198.603516,219.2463841,6302.87835
-0.991444861,342,355,299,0.244299786,202.0795347,157.1543143,151.0452688,166.7449283,6257.134949
-0.994056338,234,241,202,0.180376046,136.2486718,105.4733658,102.8393561,113.5284885,6358.403745
-0.996194698,150,154,132,0.118408522,83.97889151,65.87255245,64.18103732,70.85202039,6389.594398
-0.997858923,79,78,65,0.061524187,42.61241002,32.35089866,33.65374292,37.15171613,7194.877832
-0.999048222,36,33,27,0.025212315,18.04543523,14.69347843,18.53627448,20.4629366,11104.30476
-0.999762027,4,5,3,0,0,0,0,0,0
